ID,rating
9,3.48
18,3.45
34,3.45
39,3.45
50,3.48
65,3.46
73,3.46
93,3.46
103,3.46
116,3.46
126,3.46
138,3.46
139,3.46
154,3.47
158,3.47
163,3.47
193,3.44
203,3.44
219,3.47
220,3.47
240,3.46
245,3.46
256,3.46
259,3.46
266,3.46
267,3.46
275,3.46
295,3.46
300,3.46
317,3.46
324,3.44
326,3.44
335,3.44
372,3.44
374,3.44
376,3.44
387,3.44
390,3.44
410,3.44
413,3.44
449,3.45
456,3.45
480,3.44
487,3.44
488,3.44
492,3.44
493,3.44
495,3.47
496,3.47
500,3.47
521,3.47
527,3.47
543,3.47
548,3.47
564,3.47
589,3.42
612,3.42
621,3.42
627,3.42
643,3.42
650,3.42
671,3.44
673,3.44
716,3.44
717,3.44
718,3.44
752,3.42
753,3.42
769,3.42
773,3.42
775,3.42
792,3.42
793,3.42
807,3.42
812,3.42
813,3.42
819,3.43
829,3.44
835,3.45
848,3.42
877,3.42
895,3.46
919,3.44
948,3.44
957,3.44
960,3.44
962,3.44
969,3.44
971,3.44
975,3.44
979,3.44
983,3.44
986,3.44
994,3.44
997,3.44
1017,3.43
1018,3.43
1026,3.47
1041,3.42
1043,3.42
1054,3.44
1064,3.44
1068,3.44
1069,3.44
1073,3.44
1074,3.44
1080,3.44
1132,3.47
1133,3.47
1134,3.47
1135,3.47
1154,3.47
1164,3.47
1182,3.46
1183,3.46
1212,3.47
1213,3.47
1251,3.47
1252,3.47
1253,3.47
1271,3.47
1272,3.47
1292,3.47
1311,3.46
1312,3.47
1341,3.46
1342,3.46
1361,3.47
1380,3.47
1381,3.47
1391,3.46
1392,3.46
1393,3.46
1406,3.44
1408,3.44
1419,3.46
1426,3.45
1452,3.42
1472,3.41
1479,3.41
1503,3.44
1512,3.44
1525,3.42
1528,3.46
1530,3.44
1532,3.44
1538,3.45
1558,3.46
1642,3.45
1660,3.45
1677,3.45
1694,3.45
1697,3.45
1699,3.45
1708,3.45
1724,3.48
1725,3.47
1736,3.48
1737,3.48
1748,3.48
1754,3.47
1766,3.47
1781,3.47
1793,3.47
1797,3.47
1799,3.47
1801,3.46
1816,3.45
1821,3.45
1843,3.47
